timestamp,cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season
01/01/2016 00:00,786,6,3.5,81,13,1,1,0,3
01/01/2016 01:00,660,5.5,3,84,11,1,1,0,3
01/01/2016 02:00,387,5,2.5,84,10,1,1,0,3
01/01/2016 03:00,294,5,4.5,81,5,1,1,0,3
01/01/2016 04:00,219,5,4,76,5.5,1,1,0,3
01/01/2016 05:00,153,4,3.5,87,5,1,1,0,3
01/01/2016 06:00,120,3,0,87,10,1,1,0,3
01/01/2016 07:00,96,3,0,87,12,1,1,0,3
01/01/2016 08:00,117,3,0,87,12,1,1,0,3
01/01/2016 09:00,165,4.5,1.5,84,14,1,1,0,3
01/01/2016 10:00,358,5.5,2.5,76,17,1,1,0,3
01/01/2016 11:00,595,6.5,3.5,81,16,1,1,0,3
01/01/2016 12:00,745,8,5,76,19,1,1,0,3
01/01/2016 13:00,949,8,5,76,18,1,1,0,3
01/01/2016 14:00,925,8,5,79,20,3,1,0,3
01/01/2016 15:00,606,8,4.5,84.5,23,7,1,0,3
01/01/2016 16:00,514,8,4.5,87,23,7,1,0,3
01/01/2016 17:00,452,8,4.5,87,23,3,1,0,3
01/01/2016 18:00,431,8,4.5,87,22,3,1,0,3
01/01/2016 19:00,337,8.5,5,84.5,26,2,1,0,3
01/01/2016 20:00,295,9,6,76,26,2,1,0,3
01/01/2016 21:00,249,9,5.5,79,27,7,1,0,3
01/01/2016 22:00,209,9,6,82,24,7,1,0,3
01/01/2016 23:00,135,8.5,5.5,87,20,7,1,0,3
02/01/2016 00:00,102,9,6,87,24,7,0,1,3
02/01/2016 01:00,61,9,6,87,20,7,0,1,3
02/01/2016 02:00,50,9,6,90.5,18.5,7,0,1,3
02/01/2016 03:00,46,10,7.5,88,19.5,3,0,1,3
02/01/2016 04:00,43,10,7.5,88,19.5,3,0,1,3
02/01/2016 05:00,42,10,7.5,88,19.5,4,0,1,3
02/01/2016 06:00,43,10,7.5,88,19.5,7,0,1,3
02/01/2016 07:00,88,10,7,88,23,7,0,1,3
02/01/2016 08:00,171,10.5,9,85,20,3,0,1,3
02/01/2016 09:00,364,11,11,82,21.5,3,0,1,3
02/01/2016 10:00,534,11,11,82,21,3,0,1,3
02/01/2016 11:00,657,11,11,82,25,3,0,1,3
02/01/2016 12:00,810,11,11,82,25,3,0,1,3
02/01/2016 13:00,721,11,11,88,25,3,0,1,3
02/01/2016 14:00,523,10,7,94,22,7,0,1,3
02/01/2016 15:00,483,11,11,88,17,7,0,1,3
02/01/2016 16:00,399,11.5,11.5,91,13,7,0,1,3
02/01/2016 17:00,383,11,11,91,16,7,0,1,3
02/01/2016 18:00,324,11,11,88,21.5,7,0,1,3
02/01/2016 19:00,319,11,11,88,26,7,0,1,3
02/01/2016 20:00,270,11,11,88,28,3,0,1,3
02/01/2016 21:00,240,11,11,88,27,7,0,1,3
